[INFO] 2025-09-06 12:47:06,931 | django.server | log_message:213 | "GET /abnormal-queries/ HTTP/1.1" 200 23107
[INFO] 2025-09-06 12:47:07,826 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24528
[INFO] 2025-09-06 12:47:08,912 | django.server | log_message:213 | "GET /log-files/ HTTP/1.1" 200 20120
[INFO] 2025-09-06 12:47:10,897 | django.server | log_message:213 | "GET /statistics/ HTTP/1.1" 200 39861
[INFO] 2025-09-06 12:47:12,051 | django.server | log_message:213 | "GET /abnormal-queries/ HTTP/1.1" 200 23107
[INFO] 2025-09-06 12:47:13,618 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24528
[INFO] 2025-09-06 12:47:15,130 | django.server | log_message:213 | "GET /manage/logs/stats/ HTTP/1.1" 200 19941
[INFO] 2025-09-06 12:47:17,517 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 37161
[INFO] 2025-09-06 12:47:18,555 | django.server | log_message:213 | "GET /log-files/ HTTP/1.1" 200 20120
[INFO] 2025-09-06 12:47:20,407 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24528
[INFO] 2025-09-06 12:47:21,675 | django.server | log_message:213 | "GET /abnormal-queries/ HTTP/1.1" 200 23107
[INFO] 2025-09-06 12:47:25,744 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 24030
[INFO] 2025-09-06 12:47:37,047 | django.server | log_message:213 | "GET /manage/users/8/reset-password/ HTTP/1.1" 200 7880
[INFO] 2025-09-06 12:47:53,464 | django.server | log_message:213 | "POST /manage/users/8/reset-password/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:47:53,513 | django.server | log_message:213 | "GET /manage/users/8/ HTTP/1.1" 200 10734
[INFO] 2025-09-06 12:48:07,535 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:48:07,539 | django.server | log_message:213 | "GET /auth/login/ HTTP/1.1" 200 5765
[INFO] 2025-09-06 12:48:13,519 | django.server | log_message:213 | "POST /auth/login/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:48:13,567 | django.server | log_message:213 | "GET / HTTP/1.1" 200 24722
[INFO] 2025-09-06 12:50:00,377 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 12:50:00,833 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:50:06,414 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 12:50:06,903 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:50:27,675 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:50:28,113 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:50:33,665 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:50:34,089 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:50:37,651 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:50:38,078 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:50:46,676 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\admin_views.py changed, reloading.
[INFO] 2025-09-06 12:50:47,123 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:50:52,686 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\urls.py changed, reloading.
[INFO] 2025-09-06 12:50:53,122 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:51:58,720 | django.server | log_message:213 | "GET / HTTP/1.1" 200 24258
[INFO] 2025-09-06 12:52:00,065 | django.server | log_message:213 | "GET /statistics/ HTTP/1.1" 200 38572
[INFO] 2025-09-06 12:52:07,439 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:52:07,448 | django.server | log_message:213 | "GET /auth/login/?next=/auth/logout/ HTTP/1.1" 200 5325
[INFO] 2025-09-06 12:52:09,558 | django.server | log_message:213 | "POST /auth/login/?next=/auth/logout/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:52:09,597 | django.server | log_message:213 | "GET /auth/logout/ HTTP/1.1" 302 0
